Temperature (K)	Pressure (MPa)	Sound Spd (m/s)	Reference	Outlier
298.15	2.38	441.93	Douslin-1976	1
193.05	0.78	353.2	Douslin-1976	1
193.05	1.56	340.64	Douslin-1976	1
193.05	2.24	328.69	Douslin-1976	1
193.05	2.82	317.71	Douslin-1976	1
193.05	3.31	307.52	Douslin-1976	1
193.05	3.7	298.27	Douslin-1976	1
193.05	4.03	289.92	Douslin-1976	1
193.05	4.28	282.39	Douslin-1976	1
193.05	4.48	275.65	Douslin-1976	1
190.85	4.53	256.12	Douslin-1976	1
190.63	4.51	255.24	Douslin-1976	1
190.56	4.51	254.96	Douslin-1976	1
190.5	0.77	350.52	Douslin-1976	1
190.5	1.54	337.6	Douslin-1976	1
190.5	2.2	325.27	Douslin-1976	1
190.5	2.76	313.88	Douslin-1976	1
190.5	3.23	303.22	Douslin-1976	1
190.5	3.6	293.55	Douslin-1976	1
190.5	3.9	284.67	Douslin-1976	1
190.5	4.13	276.52	Douslin-1976	1
190.5	4.3	269.0	Douslin-1976	1
190.5	4.42	261.72	Douslin-1976	1
190.5	4.5	254.7	Douslin-1976	1
190.43	4.49	254.42	Douslin-1976	1
190.43	4.54	246.11	Douslin-1976	1
190.25	4.29	268.32	Douslin-1976	1
190.25	4.4	260.91	Douslin-1976	1
190.25	4.48	253.66	Douslin-1976	1
190.25	4.52	244.96	Douslin-1976	1
189.65	3.86	282.86	Douslin-1976	1
189.65	4.08	274.5	Douslin-1976	1
189.65	4.25	266.69	Douslin-1976	1
189.65	4.36	258.91	Douslin-1976	1
189.65	4.42	251.02	Douslin-1976	1
189.65	4.46	240.54	Douslin-1976	1
188.15	0.76	348.02	Douslin-1976	1
188.15	1.51	334.75	Douslin-1976	1
188.15	2.16	322.08	Douslin-1976	1
188.15	2.71	310.3	Douslin-1976	1
188.15	3.15	299.23	Douslin-1976	1
188.15	3.51	289.08	Douslin-1976	1
188.15	3.79	279.65	Douslin-1976	1
188.15	3.99	270.87	Douslin-1976	1
188.15	4.14	262.39	Douslin-1976	1
188.15	4.23	253.45	Douslin-1976	1
183.15	0.74	342.63	Douslin-1976	1
183.15	1.46	328.61	Douslin-1976	1
183.15	2.08	315.1	Douslin-1976	1
183.15	2.59	302.41	Douslin-1976	1
183.15	2.99	290.4	Douslin-1976	1
183.15	3.31	279.15	Douslin-1976	1
183.15	3.54	268.39	Douslin-1976	1
173.15	0.69	331.52	Douslin-1976	1
173.15	1.36	315.82	Douslin-1976	1
173.15	1.91	300.42	Douslin-1976	1
173.15	2.34	285.72	Douslin-1976	1
163.15	0.65	319.9	Douslin-1976	1
163.15	1.26	302.22	Douslin-1976	1
163.15	1.74	284.62	Douslin-1976	1
153.15	0.6	307.74	Douslin-1976	1
143.15	0.56	294.87	Douslin-1976	1
190.03	4.52	229.71	Douslin-1976	1
189.97	4.52	230.01	Douslin-1976	1
189.65	4.47	235.9	Douslin-1976	1
189.65	4.47	235.9	Douslin-1976	1
188.7	4.34	246.17	Douslin-1976	1
188.6	4.33	245.95	Douslin-1976	1
187.6	4.19	251.27	Douslin-1976	1
187.45	4.17	251.24	Douslin-1976	1
186.1	3.99	256.15	Douslin-1976	1
184.15	3.75	260.5	Douslin-1976	1
183.9	3.73	260.36	Douslin-1976	1
183.15	3.64	261.71	Douslin-1976	1
174.25	2.7	273.68	Douslin-1976	1
173.95	2.68	273.64	Douslin-1976	1
173.15	2.6	274.44	Douslin-1976	1
169.15	2.24	278.64	Douslin-1976	1
155.05	1.17	290.52	Douslin-1976	1
143.15	0.75	286.6	Douslin-1976	1
138.15	0.53	288.18	Douslin-1976	1
133.15	0.44	284.57	Douslin-1976	-1
123.15	0.24	279.9	Douslin-1976	-1
113.15	0.11	272.83	Douslin-1976	-1
189.65	4.47	259.03	Douslin-1976	1
189.65	4.47	259.71	Douslin-1976	1
183.15	3.64	434.92	Douslin-1976	1
183.15	3.64	435.02	Douslin-1976	1
173.15	2.61	610.01	Douslin-1976	1
155.44	1.32	854.36	Douslin-1976	1
143.15	0.75	1001.89	Douslin-1976	1
140.02	0.64	1037.59	Douslin-1976	1
133.15	0.44	1113.92	Douslin-1976	-1
123.15	0.24	1220.56	Douslin-1976	-1
113.15	0.12	1322.65	Douslin-1976	-1
150.0	0.95	918.7	Baidakov-1982	1
150.0	0.87	917.1	Baidakov-1982	1
150.0	0.76	914.4	Baidakov-1982	1
