Temperature (K)	Pressure (MPa)	Viscosity (uPa*s)	Reference
180.0	29.62	58.06	Diller-1980
180.0	26.09	55.35	Diller-1980
180.0	22.56	52.91	Diller-1980
180.0	18.94	50.0	Diller-1980
180.0	18.0	49.05	Diller-1980
180.0	15.53	47.34	Diller-1980
180.0	14.36	46.07	Diller-1980
180.0	10.97	42.77	Diller-1980
180.0	6.68	37.64	Diller-1980
180.0	4.73	34.47	Diller-1980
180.0	3.53	31.78	Diller-1980
170.0	31.36	65.87	Diller-1980
170.0	28.01	63.5	Diller-1980
170.0	24.63	61.26	Diller-1980
170.0	21.44	58.2	Diller-1980
170.0	17.78	55.66	Diller-1980
170.0	14.77	53.31	Diller-1980
170.0	14.65	53.26	Diller-1980
170.0	11.62	50.26	Diller-1980
170.0	8.59	47.07	Diller-1980
170.0	5.92	43.65	Diller-1980
170.0	3.21	40.24	Diller-1980
140.0	32.17	97.32	Diller-1980
140.0	28.69	93.95	Diller-1980
140.0	25.51	91.1	Diller-1980
140.0	21.98	88.47	Diller-1980
140.0	18.37	85.03	Diller-1980
140.0	16.71	82.61	Diller-1980
140.0	14.82	81.7	Diller-1980
140.0	14.39	81.05	Diller-1980
140.0	11.7	78.46	Diller-1980
140.0	11.55	78.5	Diller-1980
140.0	8.8	75.33	Diller-1980
140.0	8.11	75.22	Diller-1980
140.0	5.93	71.93	Diller-1980
140.0	4.62	71.39	Diller-1980
140.0	3.6	69.54	Diller-1980
140.0	3.58	69.59	Diller-1980
140.0	1.02	67.74	Diller-1980
120.0	29.68	135.66	Diller-1980
120.0	26.09	132.02	Diller-1980
120.0	22.89	126.93	Diller-1980
120.0	18.55	121.87	Diller-1980
120.0	14.97	117.36	Diller-1980
120.0	11.86	112.56	Diller-1980
120.0	10.07	110.98	Diller-1980
120.0	8.29	109.04	Diller-1980
120.0	6.49	105.48	Diller-1980
120.0	4.73	103.04	Diller-1980
120.0	3.01	101.69	Diller-1980
120.0	1.19	99.49	Diller-1980
100.0	31.33	218.49	Diller-1980
100.0	29.11	215.48	Diller-1980
100.0	27.67	212.13	Diller-1980
100.0	26.88	210.75	Diller-1980
100.0	25.26	206.8	Diller-1980
100.0	24.05	205.58	Diller-1980
100.0	23.34	203.68	Diller-1980
100.0	22.05	201.56	Diller-1980
100.0	20.43	198.4	Diller-1980
100.0	18.54	193.94	Diller-1980
100.0	16.56	190.05	Diller-1980
100.0	12.6	181.94	Diller-1980
100.0	9.87	174.37	Diller-1980
100.0	9.41	175.95	Diller-1980
100.0	7.38	169.5	Diller-1980
100.0	5.9	169.32	Diller-1980
100.0	45249.0	164.74	Diller-1980
100.0	3.3	161.63	Diller-1980
100.0	2.33	162.62	Diller-1980
100.0	1.8	159.99	Diller-1980
23.0	0.1	11.03	Kestin-1977
50.0	0.1	11.95	Kestin-1977
100.0	0.1	13.47	Kestin-1977
23.0	0.1	11.03	Kestin-1976
99.0	0.1	13.44	Kestin-1976
23.07	0.1	11.02	Kestin-1971
29.29	0.1	11.22	Kestin-1971
30.0	2.28	11.59	Kestin-1968
30.0	1.92	11.526	Kestin-1968
30.0	1.53	11.462	Kestin-1968
30.0	1.01	11.387	Kestin-1968
30.0	0.51	11.318	Kestin-1968
30.0	0.51	11.318	Kestin-1968
30.0	0.51	11.322	Kestin-1968
30.0	0.12	11.276	Kestin-1968
30.0	0.11	11.268	Kestin-1968
30.0	0.11	11.267	Kestin-1968
20.0	2.55	11.321	Kestin-1968
20.0	2.03	11.217	Kestin-1968
20.0	1.52	11.137	Kestin-1968
20.0	1.02	11.054	Kestin-1968
20.0	0.51	10.986	Kestin-1968
20.0	0.11	10.936	Kestin-1968
10.0	0.1	106.7	Giddings-1966
10.0	0.69	107.4	Giddings-1966
10.0	1.38	108.6	Giddings-1966
10.0	2.07	109.0	Giddings-1966
10.0	2.76	111.4	Giddings-1966
10.0	3.45	113.1	Giddings-1966
10.0	4.14	114.8	Giddings-1966
10.0	5.52	119.3	Giddings-1966
10.0	6.9	123.7	Giddings-1966
10.0	8.62	131.2	Giddings-1966
10.0	10.34	140.8	Giddings-1966
10.0	12.07	149.6	Giddings-1966
10.0	13.79	160.6	Giddings-1966
10.0	17.24	183.2	Giddings-1966
10.0	20.68	207.0	Giddings-1966
10.0	27.58	250.5	Giddings-1966
10.0	34.47	288.0	Giddings-1966
10.0	41.37	322.5	Giddings-1966
10.0	48.26	355.0	Giddings-1966
10.0	55.16	385.0	Giddings-1966
37.78	0.1	116.2	Giddings-1966
37.78	0.69	116.8	Giddings-1966
37.78	1.38	117.9	Giddings-1966
37.78	2.07	119.0	Giddings-1966
37.78	2.76	120.2	Giddings-1966
37.78	3.45	121.6	Giddings-1966
37.78	4.14	123.1	Giddings-1966
37.78	5.52	126.5	Giddings-1966
37.78	6.9	130.3	Giddings-1966
37.78	8.62	136.8	Giddings-1966
37.78	10.34	142.2	Giddings-1966
37.78	12.07	149.4	Giddings-1966
37.78	13.79	157.1	Giddings-1966
37.78	17.24	175.2	Giddings-1966
37.78	20.68	193.0	Giddings-1966
37.78	27.58	228.0	Giddings-1966
37.78	34.47	261.0	Giddings-1966
37.78	41.37	292.0	Giddings-1966
37.78	48.26	318.0	Giddings-1966
37.78	55.16	342.0	Giddings-1966
71.11	0.1	126.9	Giddings-1966
71.11	0.69	127.5	Giddings-1966
71.11	1.38	128.4	Giddings-1966
71.11	2.07	129.4	Giddings-1966
71.11	2.76	130.5	Giddings-1966
71.11	3.45	131.5	Giddings-1966
71.11	4.14	132.8	Giddings-1966
71.11	5.52	135.5	Giddings-1966
71.11	6.9	138.6	Giddings-1966
71.11	8.62	142.9	Giddings-1966
71.11	10.34	147.9	Giddings-1966
71.11	12.07	153.3	Giddings-1966
71.11	13.79	158.9	Giddings-1966
71.11	17.24	171.2	Giddings-1966
71.11	20.68	184.2	Giddings-1966
71.11	27.58	212.3	Giddings-1966
71.11	34.47	239.4	Giddings-1966
71.11	41.37	265.0	Giddings-1966
71.11	48.26	291.0	Giddings-1966
71.11	55.16	313.0	Giddings-1966
104.44	0.1	137.0	Giddings-1966
104.44	0.69	137.6	Giddings-1966
104.44	1.38	138.4	Giddings-1966
104.44	2.07	139.3	Giddings-1966
104.44	2.76	140.3	Giddings-1966
104.44	3.45	141.2	Giddings-1966
104.44	4.14	142.3	Giddings-1966
104.44	5.52	144.5	Giddings-1966
104.44	6.9	147.1	Giddings-1966
104.44	8.62	150.7	Giddings-1966
104.44	10.34	154.7	Giddings-1966
104.44	12.07	158.0	Giddings-1966
104.44	13.79	163.6	Giddings-1966
104.44	17.24	173.4	Giddings-1966
104.44	20.68	183.9	Giddings-1966
104.44	27.58	206.2	Giddings-1966
104.44	34.47	228.6	Giddings-1966
104.44	41.37	251.0	Giddings-1966
104.44	48.26	272.0	Giddings-1966
104.44	55.16	294.0	Giddings-1966
137.78	0.69	147.0	Giddings-1966
137.78	1.38	147.8	Giddings-1966
137.78	2.07	148.6	Giddings-1966
137.78	2.76	149.4	Giddings-1966
137.78	3.45	150.3	Giddings-1966
137.78	4.14	151.2	Giddings-1966
137.78	5.52	153.2	Giddings-1966
137.78	6.9	155.4	Giddings-1966
137.78	8.62	158.4	Giddings-1966
137.78	10.34	161.7	Giddings-1966
137.78	12.07	163.3	Giddings-1966
137.78	13.79	169.1	Giddings-1966
137.78	17.24	177.4	Giddings-1966
137.78	20.68	186.1	Giddings-1966
137.78	27.58	204.9	Giddings-1966
137.78	34.47	224.0	Giddings-1966
137.78	41.37	243.0	Giddings-1966
137.78	48.26	261.0	Giddings-1966
137.78	55.16	280.0	Giddings-1966
