Temperature (K),Pressure (MPa),Volume (m3/kg),Reference
150.0,1.026,0.06234413965087283,Goodwin-1974
155.0,1.0744,0.06234413965087283,Goodwin-1974
160.0,1.1222,0.06234413965087283,Goodwin-1974
165.0,1.1696,0.06234413965087283,Goodwin-1974
170.0,1.2165,0.06234413965087283,Goodwin-1974
175.0,1.2632,0.06234413965087283,Goodwin-1974
180.0,1.3096,0.06234413965087283,Goodwin-1974
185.0,1.3559,0.06234413965087283,Goodwin-1974
190.0,1.402,0.06234413965087283,Goodwin-1974
195.0,1.4479,0.06234413965087283,Goodwin-1974
200.0,1.4937,0.06234413965087283,Goodwin-1974
205.0,1.5394,0.06234413965087283,Goodwin-1974
210.0,1.5851,0.06234413965087283,Goodwin-1974
215.0,1.6306,0.06234413965087283,Goodwin-1974
220.0,1.6761,0.06234413965087283,Goodwin-1974
225.0,1.7215,0.06234413965087283,Goodwin-1974
230.0,1.7668,0.06234413965087283,Goodwin-1974
235.0,1.812,0.06234413965087283,Goodwin-1974
240.0,1.8572,0.06234413965087283,Goodwin-1974
245.0,1.9023,0.06234413965087283,Goodwin-1974
250.0,1.9474,0.06234413965087283,Goodwin-1974
255.0,1.9924,0.06234413965087283,Goodwin-1974
260.0,2.0373,0.06234413965087283,Goodwin-1974
265.0,2.0822,0.06234413965087283,Goodwin-1974
270.0,2.1271,0.06234413965087283,Goodwin-1974
170.0,2.0616,0.031172069825436414,Goodwin-1974
175.0,2.1663,0.031172069825436414,Goodwin-1974
180.0,2.2697,0.031172069825436414,Goodwin-1974
165.0,2.3721,0.031172069825436414,Goodwin-1974
130.0,2.4737,0.031172069825436414,Goodwin-1974
195.0,2.5745,0.031172069825436414,Goodwin-1974
200.0,2.6748,0.031172069825436414,Goodwin-1974
205.0,2.7746,0.031172069825436414,Goodwin-1974
210.0,2.8739,0.031172069825436414,Goodwin-1974
215.0,2.9729,0.031172069825436414,Goodwin-1974
220.0,3.0715,0.031172069825436414,Goodwin-1974
225.0,3.1698,0.031172069825436414,Goodwin-1974
230.0,3.2677,0.031172069825436414,Goodwin-1974
235.0,3.3654,0.031172069825436414,Goodwin-1974
240.0,3.4629,0.031172069825436414,Goodwin-1974
245.0,3.5601,0.031172069825436414,Goodwin-1974
250.0,3.657,0.031172069825436414,Goodwin-1974
255.0,3.7537,0.031172069825436414,Goodwin-1974
260.0,3.8502,0.031172069825436414,Goodwin-1974
265.0,3.9465,0.031172069825436414,Goodwin-1974
