Temperature (K)	Pressure (MPa)	Volume (m3/kg)	Reference	Outlier
150.0	1.026	0.0623441396508728	Goodwin-1974	-1
155.0	1.0744	0.0623441396508728	Goodwin-1974	1
160.0	1.1222	0.0623441396508728	Goodwin-1974	1
165.0	1.1696	0.0623441396508728	Goodwin-1974	1
170.0	1.2165	0.0623441396508728	Goodwin-1974	1
175.0	1.2632	0.0623441396508728	Goodwin-1974	1
180.0	1.3096	0.0623441396508728	Goodwin-1974	1
185.0	1.3559	0.0623441396508728	Goodwin-1974	1
190.0	1.402	0.0623441396508728	Goodwin-1974	1
195.0	1.4479	0.0623441396508728	Goodwin-1974	1
200.0	1.4937	0.0623441396508728	Goodwin-1974	1
205.0	1.5394	0.0623441396508728	Goodwin-1974	1
210.0	1.5851	0.0623441396508728	Goodwin-1974	1
215.0	1.6306	0.0623441396508728	Goodwin-1974	1
220.0	1.6761	0.0623441396508728	Goodwin-1974	1
225.0	1.7215	0.0623441396508728	Goodwin-1974	1
230.0	1.7668	0.0623441396508728	Goodwin-1974	1
235.0	1.812	0.0623441396508728	Goodwin-1974	1
240.0	1.8572	0.0623441396508728	Goodwin-1974	1
245.0	1.9023	0.0623441396508728	Goodwin-1974	1
250.0	1.9474	0.0623441396508728	Goodwin-1974	1
255.0	1.9924	0.0623441396508728	Goodwin-1974	1
260.0	2.0373	0.0623441396508728	Goodwin-1974	1
265.0	2.0822	0.0623441396508728	Goodwin-1974	1
270.0	2.1271	0.0623441396508728	Goodwin-1974	1
170.0	2.0616	0.0311720698254364	Goodwin-1974	1
175.0	2.1663	0.0311720698254364	Goodwin-1974	1
180.0	2.2697	0.0311720698254364	Goodwin-1974	1
195.0	2.5745	0.0311720698254364	Goodwin-1974	1
200.0	2.6748	0.0311720698254364	Goodwin-1974	1
205.0	2.7746	0.0311720698254364	Goodwin-1974	1
210.0	2.8739	0.0311720698254364	Goodwin-1974	1
215.0	2.9729	0.0311720698254364	Goodwin-1974	1
220.0	3.0715	0.0311720698254364	Goodwin-1974	1
225.0	3.1698	0.0311720698254364	Goodwin-1974	1
230.0	3.2677	0.0311720698254364	Goodwin-1974	1
235.0	3.3654	0.0311720698254364	Goodwin-1974	1
240.0	3.4629	0.0311720698254364	Goodwin-1974	1
245.0	3.5601	0.0311720698254364	Goodwin-1974	1
250.0	3.657	0.0311720698254364	Goodwin-1974	1
255.0	3.7537	0.0311720698254364	Goodwin-1974	1
260.0	3.8502	0.0311720698254364	Goodwin-1974	1
265.0	3.9465	0.0311720698254364	Goodwin-1974	1
270.0	4.0426	0.0311720698254364	Goodwin-1974	1
172.527	2.466	0.0243598404449938	Vennix-1965	1
174.691	2.5283	0.0243598404449938	Vennix-1965	1
177.203	2.5994	0.0242716420037657	Vennix-1965	1
183.176	2.7666	0.0242773129481592	Vennix-1965	1
190.532	2.9676	0.0243750790361937	Vennix-1965	1
191.849	3.0038	0.0243836591250284	Vennix-1965	1
203.084	3.3048	0.0243960632560644	Vennix-1965	1
213.041	3.5672	0.0244075244297352	Vennix-1965	1
217.864	3.6931	0.0234932884843323	Vennix-1965	1
223.831	3.8461	0.024419952859723	Vennix-1965	1
233.546	4.099	0.0235101212952985	Vennix-1965	1
239.797	4.259	0.0244371823655036	Vennix-1965	1
190.429	4.472	0.0096403494125363	Vennix-1965	1
190.532	4.4814	0.0096379648843448	Vennix-1965	1
190.052	4.4989	0.008619521858573	Vennix-1965	1
190.532	4.5493	0.0086172582035264	Vennix-1965	1
190.032	4.5236	0.0049213488724333	Vennix-1965	1
190.532	4.0239	0.0048448597423763	Vennix-1965	1
190.032	4.024	0.0045326358392433	Vennix-1965	1
191.032	4.3523	0.0045328335709051	Vennix-1965	1
273.15	1.6376	0.0831255195344971	Douslin-1964	1
298.142	1.802	0.0831255195344971	Douslin-1964	1
303.143	1.8347	0.0831255195344971	Douslin-1964	1
323.14	1.9656	0.0831255195344971	Douslin-1964	1
398.143	2.1292	0.0831255195344971	Douslin-1964	-1
373.15	2.2925	0.0831255195344971	Douslin-1964	1
398.16	2.4557	0.0831255195344971	Douslin-1964	-1
273.15	2.1558	0.0623441396508728	Douslin-1964	1
298.142	2.3786	0.0623441396508728	Douslin-1964	1
303.143	2.4232	0.0623441396508728	Douslin-1964	1
323.14	2.6006	0.0623441396508728	Douslin-1964	1
348.143	2.8221	0.0623441396508728	Douslin-1964	1
373.15	3.0431	0.0623441396508728	Douslin-1964	1
398.16	3.2637	0.0623441396508728	Douslin-1964	-1
273.15	3.1539	0.0415627597672485	Douslin-1964	1
298.142	3.4993	0.0415627597672485	Douslin-1964	1
303.143	3.5685	0.0415627597672485	Douslin-1964	1
323.14	3.8427	0.0415627597672485	Douslin-1964	1
348.143	4.1852	0.0415627597672485	Douslin-1964	-1
373.15	4.5267	0.0415627597672485	Douslin-1964	-1
273.15	4.1053	0.0311720698254364	Douslin-1964	1
203.084	0.1013	1.0321877425641195	Kvalnes-1931	-1
223.249	0.1013	1.1355945291597962	Kvalnes-1931	-1
248.175	0.1013	1.2645870111738908	Kvalnes-1931	-1
273.15	0.1013	1.3947234821224346	Kvalnes-1931	-1
298.142	0.1013	1.524306592930876	Kvalnes-1931	-1
323.14	0.1013	1.6493158637797043	Kvalnes-1931	-1
373.15	0.1013	1.9065486131765383	Kvalnes-1931	-1
423.17	0.1013	2.164727071210862	Kvalnes-1931	-1
473.193	0.1013	2.41643952135166	Kvalnes-1931	-1
203.084	2.0265	0.0451180631429098	Kvalnes-1931	1
223.249	2.0265	0.0515923035839728	Kvalnes-1931	1
298.142	2.0265	0.0735277033268932	Kvalnes-1931	1
203.084	3.0397	0.0274631688695972	Kvalnes-1931	1
223.249	3.0397	0.0324861339434489	Kvalnes-1931	1
248.175	3.0397	0.0380239934440551	Kvalnes-1931	1
273.15	3.0397	0.0432284978857806	Kvalnes-1931	1
323.14	3.0397	0.0530272515530091	Kvalnes-1931	1
373.15	3.0397	0.0623192119660863	Kvalnes-1931	1
423.17	3.0397	0.0714218577739407	Kvalnes-1931	-1
273.193	3.0397	0.0804440511624165	Kvalnes-1931	1
203.084	4.053	0.0182757715975941	Kvalnes-1931	1
223.249	4.053	0.0228166226214583	Kvalnes-1931	1
248.175	4.053	0.027437787012971	Kvalnes-1931	1
273.15	4.053	0.0315922467066346	Kvalnes-1931	1
298.142	4.053	0.0355419529393266	Kvalnes-1931	1
323.14	4.053	0.0393263985686449	Kvalnes-1931	1
176.0	2.7962	0.0208132936004783	Goodwin-1972	1
180.0	2.9335	0.0208258082746101	Goodwin-1972	1
184.0	3.0683	0.0208383380075114	Goodwin-1972	1
188.0	3.2008	0.0208501854957602	Goodwin-1972	1
192.0	3.3316	0.0208627445875155	Goodwin-1972	1
196.0	3.461	0.0208753188183066	Goodwin-1972	1
200.0	3.589	0.0208886080717258	Goodwin-1972	1
204.0	3.7158	0.0208991115453296	Goodwin-1972	1
208.0	3.8417	0.020911729665204	Goodwin-1972	1
212.0	3.9665	0.0209236607769072	Goodwin-1972	1
216.0	4.0907	0.0209356055108878	Goodwin-1972	1
220.0	4.2142	0.0209482677500328	Goodwin-1972	1
225.0	4.3673	0.0209637646359571	Goodwin-1972	1
230.3	4.5196	0.0209792844670972	Goodwin-1972	1
184.0	3.5156	0.0156714442840663	Goodwin-1972	1
188.0	3.7096	0.0156816932414913	Goodwin-1972	1
192.0	3.8989	0.0156919556131066	Goodwin-1972	1
196.0	4.09	0.0157018359528706	Goodwin-1972	1
200.0	4.275	0.0157105409497449	Goodwin-1972	1
204.0	4.4556	0.0157220304763385	Goodwin-1972	1
192.0	4.277	0.0126538268791477	Goodwin-1972	1
196.0	4.5221	0.0126623079963589	Goodwin-1972	1
192.0	4.5371	0.0104818823179785	Goodwin-1972	1
225.0	0.9966	0.0105439283674186	Goodwin-1972	1
